["neural networks", 754.4627860270758]
["nonsaturating neurons", 3.044522437723423]
["nonsimilar categories", 3.044522437723423]
["numerical calculation", 3.044522437723423]
["numerische mathematik", 3.044522437723423]
["numerous applications", 3.044522437723423]
["nystrom approximation", 3.044522437723423]
["object detection work", 3.044522437723423]
["objection recognition", 3.044522437723423]
["observation histories", 3.044522437723423]
["observation history h", 3.044522437723423]
["observed distribution", 3.044522437723423]
["official competitions", 3.044522437723423]
["online lda evaluation", 3.044522437723423]
["optimal approximation", 3.044522437723423]
["optimal sparse coding", 3.044522437723423]
["optimization criteria", 3.044522437723423]
["optimization research", 3.044522437723423]
["optimization settings", 3.044522437723423]
["optimized hidden code", 3.044522437723423]
["ordinary regularizers", 3.044522437723423]
["original input signal", 3.044522437723423]
["original mnist digits", 3.044522437723423]
["output filters equals", 3.044522437723423]
["parameter constraints", 3.044522437723423]
["parameter image model", 3.044522437723423]
["parametric estimation", 3.044522437723423]
["parametric mapping fθ", 3.044522437723423]
["parametric trajectory", 3.044522437723423]
["parametrized question", 3.044522437723423]
["patchalignment issues", 3.044522437723423]
["performance advantage", 3.044522437723423]
["perturbation response", 3.044522437723423]
["photorealistic images", 3.044522437723423]
["plausible explanation", 3.044522437723423]
["polynomial trajectory", 3.044522437723423]
["pooled slab variables", 3.044522437723423]
["popular deep networks", 3.044522437723423]
["popular wta mechanism", 3.044522437723423]
["positive phase sample", 3.044522437723423]
["post2006 developments", 3.044522437723423]
["posterior marginals p", 3.044522437723423]
["potential overfitting", 3.044522437723423]
["powerlaw distribution", 3.044522437723423]
["predefined categories", 3.044522437723423]
["predictive structures", 3.044522437723423]
["pretrained parameters", 3.044522437723423]
["pretraining deep fnns", 3.044522437723423]
["prevents coadaptation", 3.044522437723423]
["previous data samples", 3.044522437723423]
["prewired regularizers", 3.044522437723423]
["primary visual cortex", 3.044522437723423]
["priori unknown delays", 3.044522437723423]
["probabilistic variant", 3.044522437723423]
["probabilistic version", 3.044522437723423]
["projection matrices p", 3.044522437723423]
["pronunciation mixture", 3.044522437723423]
["protein dna sequences", 3.044522437723423]
["prototype classifiers", 3.044522437723423]
["prototypical networks", 3.044522437723423]
["pstable distributions", 3.044522437723423]
["public implementation", 3.044522437723423]
["pure slbased transfer", 3.044522437723423]
["radial basis function", 3.044522437723423]
["random initial points", 3.044522437723423]
["random search methods", 3.044522437723423]
["random search results", 3.044522437723423]
["random variable drawn", 3.044522437723423]
["rapid error reduction", 3.044522437723423]
["raw acoustic features", 3.044522437723423]
["raw visual input data", 3.044522437723423]
["reactive environments", 3.044522437723423]
["recent demonstrations", 3.044522437723423]
["recent kernel methods", 3.044522437723423]
["recent mpcnn scanners", 3.044522437723423]
["recent review article", 3.044522437723423]
["recent rnn algorithms", 3.044522437723423]
["reconstruction oerror", 3.044522437723423]
["rectified linear unit", 3.044522437723423]
["recurrent autoencoder", 3.044522437723423]
["recurrent neural nets", 3.044522437723423]
["recursive deep models", 3.044522437723423]
["redundant featuremaps", 3.044522437723423]
["regularization term h", 3.044522437723423]
["reidentifying persons", 3.044522437723423]
["relevant breakthrough", 3.044522437723423]
["report cuedfinfengtr1", 3.044522437723423]
["representation vector", 3.044522437723423]
["representative method", 3.044522437723423]
["research developments", 3.044522437723423]
["resource requirements", 3.044522437723423]
["richer audio features", 3.044522437723423]
["road scene segmenters", 3.044522437723423]
["robotic heart surgery", 3.044522437723423]
["robust loss functions", 3.044522437723423]
["sandblaster framework", 3.044522437723423]
["scalable architecture", 3.044522437723423]
["scalarvector products", 3.044522437723423]
["segmentation overlaps", 3.044522437723423]
["sequence transduction", 3.044522437723423]
["sequential algorithms", 3.044522437723423]
["shallow nnlike models", 3.044522437723423]
["shallowstructured hmm", 3.044522437723423]
["sigmoidal activations", 3.044522437723423]
["significant distances", 3.044522437723423]
["similar distributions", 3.044522437723423]
["simple image features", 3.044522437723423]
["simple pasting scheme", 3.044522437723423]
["simplified derivation", 3.044522437723423]
["single central server", 3.044522437723423]
["single finite episode", 3.044522437723423]
["single model instance", 3.044522437723423]
["single neural network", 3.044522437723423]
["single spike suffices", 3.044522437723423]
["single step backwards", 3.044522437723423]
["singlemodality domain", 3.044522437723423]
["singleword embeddings", 3.044522437723423]
["skipgram architecture", 3.044522437723423]
["small data robustness", 3.044522437723423]
["small singular values", 3.044522437723423]
["smaller hidden layers", 3.044522437723423]
["smaller learning rate", 3.044522437723423]
["smooth approximations", 3.044522437723423]
["smoothness assumption", 3.044522437723423]
["socalled gaussian rbm", 3.044522437723423]
["softmax loss function", 3.044522437723423]
["softmax probabilities", 3.044522437723423]
["sophisticated methods", 3.044522437723423]
["source domain samples", 3.044522437723423]
["source text documents", 3.044522437723423]
["sparse code shrinkage", 3.044522437723423]
["sparse reconstruction", 3.044522437723423]
["sparse regularization", 3.044522437723423]
["spatial concentration", 3.044522437723423]
["spatiotemporal models", 3.044522437723423]
["special coding scheme", 3.044522437723423]
["specific applications", 3.044522437723423]
["specific dropout rate", 3.044522437723423]
["specific parametrized", 3.044522437723423]
["specific technologies", 3.044522437723423]
["spiking network model", 3.044522437723423]
["ssrbm parametrization", 3.044522437723423]
["stable representation", 3.044522437723423]
["stackgan architecture", 3.044522437723423]
["staggering difference", 3.044522437723423]
["standard architecture", 3.044522437723423]
["standard cpu versions", 3.044522437723423]
["standard regularizers", 3.044522437723423]
["standard toy data set", 3.044522437723423]
["standard training set", 3.044522437723423]
["starting segmentation", 3.044522437723423]
["stateoftheart methods", 3.044522437723423]
["stateoftheart resnets", 3.044522437723423]
["statistical inference", 3.044522437723423]
["statistical structure", 3.044522437723423]
["statistical variables", 3.044522437723423]
["steepestascent method", 3.044522437723423]
["stochastic complexity", 3.044522437723423]
["stochastic corruption", 3.044522437723423]
["strong modeling power", 3.044522437723423]
["stronger dependencies", 3.044522437723423]
["structure information", 3.044522437723423]
["structured perceptron", 3.044522437723423]
["structured prediction", 3.044522437723423]
["structured variations", 3.044522437723423]
["subsequent bpbased sl", 3.044522437723423]
["successive operations", 3.044522437723423]
["suitable distribution", 3.044522437723423]
["supervised adaptation", 3.044522437723423]
["supervised components", 3.044522437723423]
["supervised finetuning", 3.044522437723423]
["supervised techniques", 3.044522437723423]
["surprising conclusion", 3.044522437723423]
["surrogate supervision", 3.044522437723423]
["switchboard benchmark", 3.044522437723423]
["symmetric connections", 3.044522437723423]
["synaptic weight noise", 3.044522437723423]
["synthetic source data", 3.044522437723423]
["taskspecific decoders", 3.044522437723423]
["technical report gcnu", 3.044522437723423]
["technical report tr47", 3.044522437723423]
["temporary update rule", 3.044522437723423]
["tensor representation", 3.044522437723423]
["term dependency model", 3.044522437723423]
["theoretical arguments", 3.044522437723423]
["top detection results", 3.044522437723423]
["top hidden layer size", 3.044522437723423]
["top5 test error rates", 3.044522437723423]
["toplevel hidden units", 3.044522437723423]
["traditional technique", 3.044522437723423]
["training trajectories", 3.044522437723423]
["transcribing meetings", 3.044522437723423]
["transformation method", 3.044522437723423]
["transitive inferences", 3.044522437723423]
["true positive depends", 3.044522437723423]
["underexplored regions", 3.044522437723423]
["underlying algorithms", 3.044522437723423]
["underlying hypothesis", 3.044522437723423]
["understanding combine", 3.044522437723423]
["unimodal distribution", 3.044522437723423]
["universal rl machines", 3.044522437723423]
["unknown visual scenes", 3.044522437723423]
["unlabeled face photos", 3.044522437723423]
["unlabeled speech data", 3.044522437723423]
["unlabeled visual data", 3.044522437723423]
["unlimited computation", 3.044522437723423]
["unperturbed real data", 3.044522437723423]
["unrelated source data", 3.044522437723423]
["unrolling variational", 3.044522437723423]
["unseen object classes", 3.044522437723423]
["unsupervised approach", 3.044522437723423]
["unsupervised examples", 3.044522437723423]
["unsupervised modeling", 3.044522437723423]
["updated reading lists", 3.044522437723423]
["valid transformations", 3.044522437723423]
["variable time regimes", 3.044522437723423]
["variational criterion", 3.044522437723423]
["vector representation", 3.044522437723423]
["video representations", 3.044522437723423]
["visual categorization", 3.044522437723423]
["visual sensory inputs", 3.044522437723423]
["voice search scenario", 3.044522437723423]
["weak labeled category", 3.044522437723423]
["weakly discriminative", 3.044522437723423]
["weibullcalibrated svm", 3.044522437723423]
["widelyconsidered case", 3.044522437723423]
["word embedding models", 3.044522437723423]
["worse training errors", 3.044522437723423]
["10way classification", 2.995732273553991]
["2layer architectures", 2.995732273553991]
["3node neural network", 2.995732273553991]
["absolute improvement", 2.995732273553991]
["accuracy mnist basic", 2.995732273553991]
["accurate predictions", 2.995732273553991]
["activation histogram", 2.995732273553991]
["active anchor points", 2.995732273553991]
["active user modeling", 2.995732273553991]
["adaptation criterion", 2.995732273553991]
["adaptation technique", 2.995732273553991]
["adaptive connections", 2.995732273553991]
["adaptive regularizer", 2.995732273553991]
["additional attention", 2.995732273553991]
["adjusting timedelays", 2.995732273553991]
["adrelated ir problem", 2.995732273553991]
["adversarial settings", 2.995732273553991]
["algorithmic approach", 2.995732273553991]
["alignment parameters", 2.995732273553991]
["alternative parallel", 2.995732273553991]
["ambiguous attributes", 2.995732273553991]
["ambiguous prediction", 2.995732273553991]
["amphitheatre parkway", 2.995732273553991]
["annhmm hybrid system", 2.995732273553991]
["annual acm symposium", 2.995732273553991]
["anr2010cosi002 grant", 2.995732273553991]
["appearancebased cues", 2.995732273553991]
["application examples", 2.995732273553991]
["approach outperforms", 2.995732273553991]
["approximate sampling", 2.995732273553991]
["arbitrary covariance", 2.995732273553991]
["arnold w m smeulders", 2.995732273553991]
["articulatory control", 2.995732273553991]
["asexual reproduction", 2.995732273553991]
["asynchronous updates", 2.995732273553991]
["asynchronous variant", 2.995732273553991]
["atomic decomposition", 2.995732273553991]
["attention mechanisms", 2.995732273553991]
["augmented categories", 2.995732273553991]
["autoencoder research", 2.995732273553991]
["autoencoding problem", 2.995732273553991]
["automatic approaches", 2.995732273553991]
["automatic clustering", 2.995732273553991]
["auxiliary classifier", 2.995732273553991]
["average downsampling", 2.995732273553991]
["average online error", 2.995732273553991]
["average performances", 2.995732273553991]
["backpropagation nets", 2.995732273553991]
["baseline deep models", 2.995732273553991]
["bayesian calibration", 2.995732273553991]
["bayesian computation", 2.995732273553991]
["beijing nova program", 2.995732273553991]
["benchmarking machine", 2.995732273553991]
["bernoulli rbm layers", 2.995732273553991]
["bidirectional target", 2.995732273553991]
["bigger deep networks", 2.995732273553991]
["biological cognition", 2.995732273553991]
["biology applications", 2.995732273553991]
["biomedical diagnosis", 2.995732273553991]
["bottleneck structure", 2.995732273553991]
["broad generic priors", 2.995732273553991]
["broad parallel lines", 2.995732273553991]
["broad phone contexts", 2.995732273553991]
["building classifiers", 2.995732273553991]
["c multitask learning", 2.995732273553991]
["caltech256 databases", 2.995732273553991]
["candidate generation", 2.995732273553991]
["categorical concepts", 2.995732273553991]
["cellular interaction", 2.995732273553991]
["chemical information", 2.995732273553991]
["choufasman algorithm", 2.995732273553991]
["christopher m bishop", 2.995732273553991]
["christopher poultney", 2.995732273553991]
["christopher williams", 2.995732273553991]
["classbased ngram lms", 2.995732273553991]
["classic regularizers", 2.995732273553991]
["classification model", 2.995732273553991]
["classifier ℓ2penalty", 2.995732273553991]
["clear winner emerges", 2.995732273553991]
["clickeddocument pair", 2.995732273553991]
["close collaborations", 2.995732273553991]
["closed form solution", 2.995732273553991]
["cnn image classifier", 2.995732273553991]
["cnnbased dl machines", 2.995732273553991]
["colleague john platt", 2.995732273553991]
["combinatorial search", 2.995732273553991]
["commercial advantage", 2.995732273553991]
["common cross entropy", 2.995732273553991]
["common feature space", 2.995732273553991]
["compare related rnns", 2.995732273553991]
["competitive datasets", 2.995732273553991]
["complete bibtex file", 2.995732273553991]
["complex environments", 2.995732273553991]
["complex relationship", 2.995732273553991]
["complicated features", 2.995732273553991]
["computable criterion", 2.995732273553991]
["computation proceeds", 2.995732273553991]
["computational models", 2.995732273553991]
["computational stages", 2.995732273553991]
["computer experiments", 2.995732273553991]
["computing technology", 2.995732273553991]
["conference companion", 2.995732273553991]
["configuration spaces", 2.995732273553991]
["conjugate directions", 2.995732273553991]
["connectionist sytems", 2.995732273553991]
["consistent estimator", 2.995732273553991]
["consistent multitask", 2.995732273553991]
["constrained database", 2.995732273553991]
["constrained matrices", 2.995732273553991]
["continual prediction", 2.995732273553991]
["controlled balancing", 2.995732273553991]
["conv net  maxpooling", 2.995732273553991]
["conventional methods", 2.995732273553991]
["convergence criteria", 2.995732273553991]
["convergence property", 2.995732273553991]
["convolutional models", 2.995732273553991]
["correct feature maps", 2.995732273553991]
["corruption process q", 2.995732273553991]
["cosine loss function", 2.995732273553991]
["coupled markov chain", 2.995732273553991]
["covariance structure", 2.995732273553991]
["critical requirement", 2.995732273553991]
["cropped bounding box", 2.995732273553991]
["crossdomain mappings", 2.995732273553991]
["crossdomain transfer", 2.995732273553991]
["crossstitch networks", 2.995732273553991]
["current capabilities", 2.995732273553991]
["current incarnations", 2.995732273553991]
["cuttingedge solution", 2.995732273553991]
["dae training amounts", 2.995732273553991]
["data representations", 2.995732273553991]
["data transformations", 2.995732273553991]
["datadependent manner", 2.995732273553991]
["dbnbased autoencoder", 2.995732273553991]
["decision combination", 2.995732273553991]
["decisionlevel fusion", 2.995732273553991]
["decoder bias vectors", 2.995732273553991]
["deep feature learner", 2.995732273553991]
["deep hidden dynamics", 2.995732273553991]
["deep learning refers", 2.995732273553991]
["deep learning system", 2.995732273553991]
["deep linear networks", 2.995732273553991]
["deep maxout networks", 2.995732273553991]
["deepcnn architecture", 2.995732273553991]
["deeper hidden layers", 2.995732273553991]
["degenerate solutions", 2.995732273553991]
["denominator lattices", 2.995732273553991]
["dense network layout", 2.995732273553991]
["densenetbc structure", 2.995732273553991]
["depth map prediction", 2.995732273553991]
["description cplx_src", 2.995732273553991]
["detection challenges", 2.995732273553991]
["development learning", 2.995732273553991]
["differential cepstra", 2.995732273553991]
["directed connections", 2.995732273553991]
["discrimination layer", 2.995732273553991]
["discrimination tasks", 2.995732273553991]
["discriminative power", 2.995732273553991]
["discussed situations", 2.995732273553991]
["disjoint subnetworks", 2.995732273553991]
["distinctive property", 2.995732273553991]
["diverse applications", 2.995732273553991]
["diverse perspectives", 2.995732273553991]
["dnnhmm hybrid system", 2.995732273553991]
["domain classifier θ4", 2.995732273553991]
["domain distributions", 2.995732273553991]
["domain general model", 2.995732273553991]
["domainconfusion loss", 2.995732273553991]
["domainguided dropout", 2.995732273553991]
["dramatic improvement", 2.995732273553991]
["dropout rbm relative", 2.995732273553991]
["dropout rbm training", 2.995732273553991]
["dual learning trains", 2.995732273553991]
["dual representations", 2.995732273553991]
["duplicate detections", 2.995732273553991]
["dx  dh matrix w form", 2.995732273553991]
["dynamic compensation", 2.995732273553991]
["earlier single words", 2.995732273553991]
["effective algorithms", 2.995732273553991]
["effective sml scheme", 2.995732273553991]
["effective strategies", 2.995732273553991]
["effective techniques", 2.995732273553991]
["efficient algorithms", 2.995732273553991]
["efficient estimation", 2.995732273553991]
["eine implementierung", 2.995732273553991]
["eme danalyse relatif", 2.995732273553991]
["encoderdecoder pairs", 2.995732273553991]
["energybased learning", 2.995732273553991]
["energybased policies", 2.995732273553991]
["ensemble monte carlo", 2.995732273553991]
["entire current state", 2.995732273553991]
["entire target domain", 2.995732273553991]
["environmental change", 2.995732273553991]
["environmental inputs", 2.995732273553991]
["equal sized training", 2.995732273553991]
["equivalent treatment", 2.995732273553991]
["esprit working group", 2.995732273553991]
["essential philosophy", 2.995732273553991]
["estimating conjugacy", 2.995732273553991]
["evaluation data sets", 2.995732273553991]
["evaluation framework", 2.995732273553991]
["evolutionary methods", 2.995732273553991]
["evolutionary origins", 2.995732273553991]
["expanded discussions", 2.995732273553991]
["experimental section", 2.995732273553991]
["experiments girshick", 2.995732273553991]
["explicit dl research", 2.995732273553991]
["exploitation permits", 2.995732273553991]
["exploratory analysis", 2.995732273553991]
["exploratory behavior", 2.995732273553991]
["external fine tuning", 2.995732273553991]
["extracted components", 2.995732273553991]
["facebook ai research", 2.995732273553991]
["factorized posterior", 2.995732273553991]
["fast mixing property", 2.995732273553991]
["fconstancy component", 2.995732273553991]
["feature augmentation", 2.995732273553991]
["feature interactions", 2.995732273553991]
["feature vector h  fθ", 2.995732273553991]
["featurebased methods", 2.995732273553991]
["filterlevel sparsity", 2.995732273553991]
["final configurations", 2.995732273553991]
["final training error", 2.995732273553991]
["final training phase", 2.995732273553991]
["finitestate automata", 2.995732273553991]
["fixed dimensionality", 2.995732273553991]
["fixed length history", 2.995732273553991]
["fixed size storage o", 2.995732273553991]
["flat energy surfaces", 2.995732273553991]
["framelevel criterion", 2.995732273553991]
["free energy function", 2.995732273553991]
["frequencydomain case", 2.995732273553991]
["full backpropagation", 2.995732273553991]
["fundamental problems", 2.995732273553991]
["fused representation", 2.995732273553991]
["gained understanding", 2.995732273553991]
["gated residual layer", 2.995732273553991]
["generalization means", 2.995732273553991]
["generative criterion", 2.995732273553991]
["generator subnetwork", 2.995732273553991]
["genre classification", 2.995732273553991]
["geodesic flow kernel", 2.995732273553991]
["geometric structures", 2.995732273553991]
["gibbs sampling chain", 2.995732273553991]
["global learning rate", 2.995732273553991]
["gmdh type algorithms", 2.995732273553991]
["gmmbased hmm systems", 2.995732273553991]
["good diversification", 2.995732273553991]
["good reconstructions", 2.995732273553991]
["good ridge parameter", 2.995732273553991]
["googlenet submission", 2.995732273553991]
["graceful degradation", 2.995732273553991]
["gradient sign method", 2.995732273553991]
["gradient update step", 2.995732273553991]
["gradientbased method", 2.995732273553991]
["graphics application", 2.995732273553991]
["greedy approximation", 2.995732273553991]
["ground truth regions", 2.995732273553991]
["handdefined features", 2.995732273553991]
["harmonic progression", 2.995732273553991]
["hermitian polynomial", 2.995732273553991]
["hidden filter models", 2.995732273553991]
["hidden layer network", 2.995732273553991]
["hierarchical version", 2.995732273553991]
["high performance gpu", 2.995732273553991]
["higher density point", 2.995732273553991]
["higherlayer features", 2.995732273553991]
["huge neural networks", 2.995732273553991]
["human identification", 2.995732273553991]
["human ventral stream", 2.995732273553991]
["hybrid architectures", 2.995732273553991]
["icassp2013 timeframe", 2.995732273553991]
["identity connections", 2.995732273553991]
["ieeeacm transactions", 2.995732273553991]
["ii lstmlike networks", 2.995732273553991]
["image categorization", 2.995732273553991]
["image style transfer", 2.995732273553991]
["important benchmarks", 2.995732273553991]
["important difference", 2.995732273553991]
["impressive successes", 2.995732273553991]
["imprimerie nationale", 2.995732273553991]
["improved utilization", 2.995732273553991]
["improvement criteria", 2.995732273553991]
["inception module ber", 2.995732273553991]
["incomplete knowledge", 2.995732273553991]
["incorrect prediction", 2.995732273553991]
["incremental training", 2.995732273553991]
["indispensable advice", 2.995732273553991]
["indoor origami world", 2.995732273553991]
["inference algorithms", 2.995732273553991]
["inferior performance", 2.995732273553991]
["infinite ordered set", 2.995732273553991]
["initial explorations", 2.995732273553991]
["initialization range", 2.995732273553991]
["innovative computing", 2.995732273553991]
["input feature vector", 2.995732273553991]
["inputoutput stacking", 2.995732273553991]
["inside max procedure", 2.995732273553991]
["intelligent problems", 2.995732273553991]
["interesting property", 2.995732273553991]
["intermediate data ii", 2.995732273553991]
["intermediate do2http", 2.995732273553991]
["intractable networks", 2.995732273553991]
["intrinsic motivation", 2.995732273553991]
["intrinsic plasticity", 2.995732273553991]
["involved researchers", 2.995732273553991]
["istituto dalle molle", 2.995732273553991]
["iterative algorithms", 2.995732273553991]
["iterative procedures", 2.995732273553991]
["k efficient backprop", 2.995732273553991]
["k output featuremaps", 2.995732273553991]
["l   _n i0 yi log ˆyi", 2.995732273553991]
["la determination des", 2.995732273553991]
["landmark superpixels", 2.995732273553991]
["language engineering", 2.995732273553991]
["language recognition", 2.995732273553991]
["language translators", 2.995732273553991]
["laplace distribution", 2.995732273553991]
["large camera motions", 2.995732273553991]
["large dnnhmm systems", 2.995732273553991]
["large scale learning", 2.995732273553991]
["large vocabulary asr", 2.995732273553991]
["largemargin training", 2.995732273553991]
["largememory machines", 2.995732273553991]
["largescale data sets", 2.995732273553991]
["largescale detection", 2.995732273553991]
["late breaking papers", 2.995732273553991]
["layerbylayer fashion", 2.995732273553991]
["layered architecture", 2.995732273553991]
["learned distribution", 2.995732273553991]
["learning methodology", 2.995732273553991]
["learning rate decays", 2.995732273553991]
["learning simulations", 2.995732273553991]
["learningbased fusion", 2.995732273553991]
["learningthe increase", 2.995732273553991]
["leastsquares methods", 2.995732273553991]
["leveraged attributes", 2.995732273553991]
["line search converge", 2.995732273553991]
["local context models", 2.995732273553991]
["local generalization", 2.995732273553991]
["local image analysis", 2.995732273553991]
["local information rt", 2.995732273553991]
["log likelihood log 𝑝", 2.995732273553991]
["long input sequences", 2.995732273553991]
["longshortterm memory", 2.995732273553991]
["longstanding variant", 2.995732273553991]
["lower level features", 2.995732273553991]
["lowresource cddnnhmm", 2.995732273553991]
["lℓ subsequent layers", 2.995732273553991]
["manifold perspective", 2.995732273553991]
["manylayered learning", 2.995732273553991]
["mapping relationship", 2.995732273553991]
["marginal probability", 2.995732273553991]
["material transitions", 2.995732273553991]
["mathematical imaging", 2.995732273553991]
["maxpooling operation", 2.995732273553991]
["meaningful gradients", 2.995732273553991]
["meaningful structure", 2.995732273553991]
["mediate dependencies", 2.995732273553991]
["memoire sur le probl", 2.995732273553991]
["midlevel information", 2.995732273553991]
["minimal perturbation", 2.995732273553991]
["mnist digit data set", 2.995732273553991]
["modalitywise dropout", 2.995732273553991]
["model architechtures", 2.995732273553991]
["model regularization", 2.995732273553991]
["model size decreases", 2.995732273553991]
["modern deep learning", 2.995732273553991]
["modified gmdh method", 2.995732273553991]
["monte carlo estimate", 2.995732273553991]
["montecarlo averaging", 2.995732273553991]
["montecarlo estimator", 2.995732273553991]
["multibox predictions", 2.995732273553991]
["multiple activations", 2.995732273553991]
["multiple data models", 2.995732273553991]
["multiscale hierarchy", 2.995732273553991]
["multistep approaches", 2.995732273553991]
["multistep da methods", 2.995732273553991]
["n consecutive frames", 2.995732273553991]
["natural data sources", 2.995732273553991]
["nearlysolved problem", 2.995732273553991]
["negative expectation", 2.995732273553991]
["network construction", 2.995732273553991]
["neural net increases", 2.995732273553991]
["neural network world", 2.995732273553991]
["neuromorphic systems", 2.995732273553991]
["neverending learning", 2.995732273553991]
["noise identification", 2.995732273553991]
["noise model transfer", 2.995732273553991]
["noisy data tolerance", 2.995732273553991]
["nonlinear extensions", 2.995732273553991]
["nonlinear parameters", 2.995732273553991]
["nonlinear predictors", 2.995732273553991]
["nonlinear processing", 2.995732273553991]
["nonlinear projection", 2.995732273553991]
["nonnegative features", 2.995732273553991]
["nonstationary states", 2.995732273553991]
["normalization factor", 2.995732273553991]
["normalization method", 2.995732273553991]
["normalized rgb space", 2.995732273553991]
["numerical conditions", 2.995732273553991]
["observed brittleness", 2.995732273553991]
["openset noisy labels", 2.995732273553991]
["openworld robustness", 2.995732273553991]
["optimal alloca1 tion", 2.995732273553991]
["optimal flight paths", 2.995732273553991]
["optimality principle", 2.995732273553991]
["optimization effects", 2.995732273553991]
["ordinary autoencoder", 2.995732273553991]
["original noisy label", 2.995732273553991]
["original query patch", 2.995732273553991]
["outgoing connections", 2.995732273553991]
["output perturbations", 2.995732273553991]
["outstanding portions", 2.995732273553991]
["overlapping features", 2.995732273553991]
["parallel computation", 2.995732273553991]
["parallel development", 2.995732273553991]
["parallel experiments", 2.995732273553991]
["parallel hyperplanes", 2.995732273553991]
["parameter estimation", 2.995732273553991]
["parameters increases", 2.995732273553991]
["parametric embedding", 2.995732273553991]
["partition boundaries", 2.995732273553991]
["pascal detection set", 2.995732273553991]
["pascal voc challenge", 2.995732273553991]
["pattern presentation", 2.995732273553991]
["perfect localization", 2.995732273553991]
["performance benefits", 2.995732273553991]
["performance degrades", 2.995732273553991]
["perframe confidences", 2.995732273553991]
["pesky learning rates", 2.995732273553991]
["phone classification", 2.995732273553991]
["physiological states", 2.995732273553991]
["plausible hypothesis", 2.995732273553991]
["plausible techniques", 2.995732273553991]
["popular architecture", 2.995732273553991]
["popular smart phones", 2.995732273553991]
["postdoctoral council", 2.995732273553991]
["powerful gpu machine", 2.995732273553991]
["practical guidelines", 2.995732273553991]
["predefined semantics", 2.995732273553991]
["predictive inference", 2.995732273553991]
["pretrained increases", 2.995732273553991]
["pretrained solutions", 2.995732273553991]
["pretraining examples", 2.995732273553991]
["pretraining suggests", 2.995732273553991]
["previous evaluations", 2.995732273553991]
["previous experiments", 2.995732273553991]
["previous predictions", 2.995732273553991]
["primaldual technique", 2.995732273553991]
["principal difficulty", 2.995732273553991]
["principle components", 2.995732273553991]
["priori independent h", 2.995732273553991]
["processing community", 2.995732273553991]
["programming language", 2.995732273553991]
["progressive networks", 2.995732273553991]
["propagated backwards", 2.995732273553991]
["proper deep learning", 2.995732273553991]
["protein applications", 2.995732273553991]
["protein contact maps", 2.995732273553991]
["prototypical network", 2.995732273553991]
["psd direct predictor", 2.995732273553991]
["psychological review", 2.995732273553991]
["public mailing lists", 2.995732273553991]
["quantitative results", 2.995732273553991]
["quantized loguniform", 2.995732273553991]
["quasiinfinite number", 2.995732273553991]
["random 5050 training", 2.995732273553991]
["random parameter cnn", 2.995732273553991]
["random projections16", 2.995732273553991]
["raw videobased rl nn", 2.995732273553991]
["rcnn object detector", 2.995732273553991]
["realistic evaluation", 2.995732273553991]
["realistic properties", 2.995732273553991]
["realvalued reward rt", 2.995732273553991]
["recent icml workshop", 2.995732273553991]
["recognition pipeline", 2.995732273553991]
["reconstruction r  gθ", 2.995732273553991]
["recursive definition", 2.995732273553991]
["reduced training set", 2.995732273553991]
["region proposal step", 2.995732273553991]
["regression shrinkage", 2.995732273553991]
["regret formalization", 2.995732273553991]
["regular autoencoders", 2.995732273553991]
["regularization power", 2.995732273553991]
["regularization terms", 2.995732273553991]
["rejection strategies", 2.995732273553991]
["related architecture", 2.995732273553991]
["relationship element", 2.995732273553991]
["relevance assessment", 2.995732273553991]
["remarkable successes", 2.995732273553991]
["representation z  rm", 2.995732273553991]
["research communities", 2.995732273553991]
["research development", 2.995732273553991]
["restrictive property", 2.995732273553991]
["retrospective review", 2.995732273553991]
["reutersrcv1 data set", 2.995732273553991]
["scaling computations", 2.995732273553991]
["scattering operators", 2.995732273553991]
["segmentation metrics", 2.995732273553991]
["segmentation process", 2.995732273553991]
["segmentation systems", 2.995732273553991]
["selection indicators", 2.995732273553991]
["semantic relatedness", 2.995732273553991]
["semisupervised model", 2.995732273553991]
["sends small messages", 2.995732273553991]
["sensitive directions", 2.995732273553991]
["sensitivity analysis", 2.995732273553991]
["separate audiospeech", 2.995732273553991]
["sequential decisions", 2.995732273553991]
["sequential structure", 2.995732273553991]
["shallow architecture", 2.995732273553991]
["shallow learning end", 2.995732273553991]
["shape representation", 2.995732273553991]
["siamese architecture", 2.995732273553991]
["sift  fisher vectors", 2.995732273553991]
["significant progress", 2.995732273553991]
["significant speedups", 2.995732273553991]
["similar architecture", 2.995732273553991]
["similar distribution", 2.995732273553991]
["similar observations", 2.995732273553991]
["similarity structure", 2.995732273553991]
["single bottom module", 2.995732273553991]
["single large network", 2.995732273553991]
["single model replica", 2.995732273553991]
["single output vector", 2.995732273553991]
["single source domain", 2.995732273553991]
["single weight matrix", 2.995732273553991]
["singlelayer learners", 2.995732273553991]
["singlesource methods", 2.995732273553991]
["slight perturbations", 2.995732273553991]
["small bilingual data", 2.995732273553991]
["small neural network", 2.995732273553991]
["smaller output units", 2.995732273553991]
["smallsteps movements", 2.995732273553991]
["softmax output units", 2.995732273553991]
["solid coloured lines", 2.995732273553991]
["source feature space", 2.995732273553991]
["sparse training data", 2.995732273553991]
["sparse weight matrix", 2.995732273553991]
["sparsity constraints", 2.995732273553991]
["sparsity regularizer", 2.995732273553991]
["spatial relationship", 2.995732273553991]
["speaker verification", 2.995732273553991]
